list_name_encoded,request_date,rank,title,bestsellers_date,published_date,previous_published_date,list_name,list_display_name,publisher,author,isbn
audio-fiction,2018-03-01,1,READY PLAYER ONE,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Random House Audio,Ernest Cline,9780307913159
audio-fiction,2018-03-01,2,THE WOMAN IN THE WINDOW,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,HarperAudio,A.J. Finn,9780062678430
audio-fiction,2018-03-01,3,THE GREAT ALONE,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Macmillan Audio,Kristin Hannah,9781427287540
audio-fiction,2018-03-01,4,THE WIFE BETWEEN US,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Macmillan Audio,Greer Hendricks and Sarah Pekkanen,9781427293046
audio-fiction,2018-03-01,5,BEFORE WE WERE YOURS,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Random House Audio,Lisa Wingate,9781524780685
audio-fiction,2018-03-01,6,ZERO HOUR,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Podium Publishing,Craig Alanson,9781772304961
audio-fiction,2018-03-01,7,ARTEMIS,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Audible Studios,Andy Weir,9781603932127
audio-fiction,2018-03-01,8,THE DISPATCHER,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Audible Studios,John Scalzi,9781603934084
audio-fiction,2018-03-01,9,DARK IN DEATH,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Brilliance Audio,JD Robb,9781536696882
audio-fiction,2018-03-01,10,ORIGIN,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Random House Audio,Dan Brown,9780739319307
audio-fiction,2018-03-01,11,ALTERED CARBON,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Tantor Audio,Richard K Morgan,9781400171378
audio-fiction,2018-03-01,12,LITTLE FIRES EVERYWHERE,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Penguin Audio,Celeste Ng,9780525498070
audio-fiction,2018-03-01,13,AN AMERICAN MARRIAGE,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,HighBridge,Tayari Jones,9781681688343
audio-fiction,2018-03-01,14,STILL ME,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Penguin Audio,Jojo Moyes,9780525530169
audio-fiction,2018-03-01,15,RED SPARROW,2018-02-24,2018-03-11,,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Jason Matthews,9781442361676
audio-fiction,2018-04-01,1,READY PLAYER ONE,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Random House Audio,Ernest Cline,9780307913159
audio-fiction,2018-04-01,2,THE GREAT ALONE,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Macmillan Audio,Kristin Hannah,9781427287540
audio-fiction,2018-04-01,3,SILENT CHILD,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Audible Studios,Sarah A Denzil,9781603932257
audio-fiction,2018-04-01,4,PARADOX BOUND,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Audible Studios,Peter Clines,9781603932219
audio-fiction,2018-04-01,5,RED SPARROW,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Jason Matthews,9781442361676
audio-fiction,2018-04-01,6,THE WOMAN IN THE WINDOW,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,HarperAudio,A.J. Finn,9780062678430
audio-fiction,2018-04-01,7,AGENT IN PLACE,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Audible Studios,Mark Greaney,9781603934114
audio-fiction,2018-04-01,8,LITTLE FIRES EVERYWHERE,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Penguin Audio,Celeste Ng,9780525498070
audio-fiction,2018-04-01,9,LOOK FOR ME,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Brilliance Audio,Lisa Gardner,9781536609493
audio-fiction,2018-04-01,10,THE FINAL EMPIRE,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Macmillan Audio,Brandon Sanderson,9781427206374
audio-fiction,2018-04-01,11,THE SECRETS SHE KEEPS,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Michael Robotham,9781508237396
audio-fiction,2018-04-01,12,THE ROOSTER BAR,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Random House Audio,John Grisham,9780399565007
audio-fiction,2018-04-01,13,THE WIFE,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,HarperAudio,Alafair Burke,9780062798473
audio-fiction,2018-04-01,14,THE GRAY MAN,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Audible Studios,Mark Greaney,9781603933261
audio-fiction,2018-04-01,15,ORIGIN,2018-03-31,2018-04-15,2018-03-01,Audio Fiction,Audio Fiction,Random House Audio,Dan Brown,9780739319307
audio-fiction,2018-05-01,1,READY PLAYER ONE,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Random House Audio,Ernest Cline,9780307913159
audio-fiction,2018-05-01,2,THE FALLEN,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Hachette Audio,David Baldacci,9781478999232
audio-fiction,2018-05-01,3,SCOURGED,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Random House Audio,Kevin Hearne,9780804147941
audio-fiction,2018-05-01,4,THE WIFE BETWEEN US,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Macmillan Audio,Greer Hendricks and Sarah Pekkanen,9781427293046
audio-fiction,2018-05-01,5,THE GREAT ALONE,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Macmillan Audio,Kristin Hannah,9781427287540
audio-fiction,2018-05-01,6,BEFORE WE WERE YOURS,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Random House Audio,Lisa Wingate,9781524780685
audio-fiction,2018-05-01,7,LITTLE FIRES EVERYWHERE,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Penguin Audio,Celeste Ng,9780525498070
audio-fiction,2018-05-01,8,ALL SYSTEMS RED,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Recorded Books,Martha Wells,9781501977824
audio-fiction,2018-05-01,9,TWISTED PREY,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Penguin Audio,John Sandford,9780525525158
audio-fiction,2018-05-01,10,GONE TO DUST,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Blackstone Audio,Matt Goldman,9781504768863
audio-fiction,2018-05-01,11,THE WOMAN IN THE WINDOW,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,HarperAudio,A.J. Finn,9780062678430
audio-fiction,2018-05-01,12,CIRCE,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Hachette Audio,Madeline Miller,9781478975311
audio-fiction,2018-05-01,13,STINKER LETS LOOSE!,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Audible Studios,James Taylor Johnston,9781603934176
audio-fiction,2018-05-01,14,HEAD ON,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,Audible Studios,John Scalzi,9781603934152
audio-fiction,2018-05-01,15,AN AMERICAN MARRIAGE,2018-04-28,2018-05-13,2018-04-01,Audio Fiction,Audio Fiction,HighBridge,Tayari Jones,9781681688343
audio-fiction,2018-06-01,1,THE OUTSIDER,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Simon & Schuster Audio,Stephen King,9781508252221
audio-fiction,2018-06-01,2,NORSE MYTHOLOGY,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,HarperAudio,Neil Gaiman,9780062663641
audio-fiction,2018-06-01,3,THE FALLEN,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Hachette Audio,David Baldacci,9781478999232
audio-fiction,2018-06-01,4,READY PLAYER ONE,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Random House Audio,Ernest Cline,9780307913159
audio-fiction,2018-06-01,5,THE HANDMAID'S TALE,2018-06-02,2018-06-17,2018-05-01,Audio Fiction,Audio Fiction,Audible Studios,Margaret Atwood,9781603932110
